name,prompt,negative_prompt
None,,
MultiDiffusion,"masterpiece, best quality, highres, extremely detailed, clear background,",
负tag,,"(worst quality, low quality:1.4),(jpeg artifacts:1.4),(depth of field, bokeh, blurry, film grain, chromatic aberration:1),trembling,motion lines,motion blur,emphasis lines,text,title,logo,signature,"
负tag带e,,"verybadimagenegative_v1.3,(worst quality, low quality:1.4),(jpeg artifacts:1.4),(depth of field, bokeh, blurry, film grain, chromatic aberration:1),trembling,motion lines,motion blur,emphasis lines,text,title,logo,signature,"
负tag+,,"(worst quality, low quality:1.4),(jpeg artifacts:1.4),(depth of field, bokeh, blurry, film grain, chromatic aberration:1),bad anatomy,extra limbs,extra fingers,fewer digits,greyscale,monochrome,trembling,motion lines,motion blur,emphasis lines,text,title,logo,signature,"
女孩,"(masterpiece,best quality, official art,:1.2),1girl,",
婚纱全套,"bride, bridal veil, bridal gauntlets, wedding dress, bridal garter, bridal legwear, white thighhighs, stiletto heels,",
婚纱全套 绝对空域,"bride,bridal veil,bridal gauntlets,wedding dress,bridal garter,bridal legwear,white thighhighs,stiletto heels,((front pussy)),((thigh gap)),",
婚纱 巨乳 紧身衣 笑 ,"(bridal gown:1.4), Amazing Breasts, Big Breasts, Amazing Thighs, seductive smile, smart, wedding, tight clothes, lace,polka dot,striped,lolita fashion,",
抱枕 丝袜 萝莉 掀裙子,"solo, 1girl,(oppai loli:1.25), (slender body:1.3),(revealing panties), (skirt lift:1.3),(dress lift:1.3), (lifted by self:1.4),(striped panties:1.2),(:d:1.4),(big eyes:1.2), (short girl:1.15),(rib, collarbone:1.15), (infant girl:1.15), (loli big face:1.2), (cleavage:1.2),maid, (8 years old:1.3),(short person:1.3),(maid apron),(maid headdress),(white hair:1.2),flat chest,medium breasts,portrait, fox ears, animal ear fluff, ahoge, braid, [blue eyes:green eyes:0.5], (medium breasts) , long hair, cute face, detailed gradient eyes, looking at viewer, blush, embarrassed, masterpiece, best quality, 4k, 8k,(full body:1.3),(from above,plane_view),(white pantyhose:1.3),(lying on bed:1.4),solo focus,(coquettish:1.2),blush,shy,bed sheet,(shiny:1.4),(Oil highlights:1.5)[wet with oil:0.3],reflection,",
精灵 御姐 裸 丝袜 面包 自慰,"((masterpiece)),(((high quality))),(extremely detailed CG unity 8k wallpaper),1girl,((((mature girl)))),highere,long white hair,bangs,medium breast and thigh,cumshots,silk stockings,naked,white pussy,creampie,after sex,shushing,torogao,album cover,((blush)),((open mouth)),((screaming)),(saliva),earrings,choker,((lace trim)),thighband pantyhose,high heels,beautiful detailed eyes,((gentle)),wife,beauty mark,(bare chest),(Nude pussy),(((perfect face))),(((perfect breasts))),(((perfect pussy))),elf,((No panties)),",
猫耳雌小鬼 幼女,"kemonomimi mode,chibi,lalafell,full body,extremely detailed CG unity 8k wallpaper,detailed manga illustration,(((infant))),(((petite))),1girl,long hair,detail fingers,slim legs,blush,aquagradient eyes,barefoot,white hair/blue eyes,anal,spread anus,cum in ass,ass grab,{oral},vaginal,spread legs,m legs,solo focus,sex,overflow,sweat,ahoge,small breasts,grin,smug,naughty face,naughty face,open mouth,loli,smile,eyeball,evil smile,fang,cat ears,cat tail,anal beads,onsen,",
白毛 萝莉 白色过膝袜 下蹲,"on bed,(extremely detailed CG unity 8k wallpaper),(((detailed manga illustration))),(((meticulous painting))),ahoge,long_hair,skindentation,no_panties,flat_chest,(((detail fingers))),squatting,Perfect female body,infant,Silver hair,purple eyes,slim waist,virgin,cat girl,enchanter,shiny skin,see-through,white_thighhighs,",
御姐 哥特式礼服,"masterpiece,best quality,official art,extremely detailed cg unity 8k wallpaper, crystals texture skin, cold expression, blue hair,long hair,messy hair, looking at viewer, extremely delicate and beautiful , beautiful and detailed sky, water, ultra -detailed, incredibly detailed,(an extremely delicate and beautiful), beautiful detailed eyes, (best quality), (masterpiece), (highres), original, dramatic angle, cinematic lighting, cinematic highlight hair, beautiful hand, lace glove, detailed jewelry necklace, jewelry earrings, gothic,mature woman, handsome, light smile, kitsune,",
绿毛 旗袍 丝袜 抬胳膊,"1girl, solo, breasts, long hair, thighhighs, green hair, dress, detached sleeves, looking at viewer, hair ornament, cleavage, white dress, hair flower, large breasts, bare shoulders, chinese clothes, flower, china dress, pelvic curtain, black thighhighs, white footwear, high heels, clothing cutout, ahoge, yellow eyes, thighs, long sleeves, indoors, sitting, very long hair, see-through, jewelry, parted lips, earrings, blush, see-through sleeves, arm up, full body, tassel, gold trim, navel,",
婚纱 兽耳,"(incredibly_absurdres:1.5),((masterpiece)),(extremely detailed CG unity 8k wallpaper),(highres),full body,the top of the hill,beautiful detailed sky,original,illustration,{an extremely delicate and beautiful},long_hair,light_brown_hair,beautiful and detailed eyes,green eyes,loli,kemonomimi mode,(a lot of Colorful bubbles),White wedding dress,wedding veil,butterflys flying,Hair fluttering,(shy),cat ears,white thighhighs,bare shoulders,elbow gloves,white gloves,",
雪女 连衣裙 背面 回头看,"((masterpiece)), ((an extremely detailed and delicate)), (8k cg wallpaper), (stunning art), ((illustration )), (ink splashing), (amazing), (1 girl), (elf),anime face,(small_breast),floating,beautiful detailed winter sky,an detailed silver organdie dress,snowflake texture organdie dress,bare_shoulder,focus_on_face,flowing_long_hair, lace tulle,lens_flare,(light_leaks,silver light),detailed_beautiful_Snow sky_with_star_and_moon,silver_hair,silver clothes, ((Snowflakes)),snowflake texture clothes+hair+skin,ornament,snowflake ornament,snowflake hair ornament,floating sand flow,(beautiful detailed blue eyes), (8k_wallpaper),blue roses,masterpiece, best quality,silver thighhighs,looking_at_viewer,((wariza)),(neck, back, looking back, dhalter dress, backless dress),",
雪女 科技 双臂交叉,"((masterpiece)), ((best quality)), ((ultra-detailed)), ((illustration)),standing,woman,alien,High-tech,(1 girl), (elf),anime face,(small_breast),floating,beautiful detailed winter sky,an detailed silver organdie dress,snowflake texture organdie dress,bare_shoulder,focus_on_face,flowing_long_hair, lace tulle,lens_flare,(light_leaks,silver light),detailed_beautiful_Snow Forest_with_Trees,silver_hair,silver clothes, ((Snowflakes)),snowflake texture clothes+hair+skin,ornament,snowflake ornament,snowflake hair ornament,floating sand flow,(beautiful detailed blue eyes), (8k_wallpaper),blue roses,masterpiece, best quality,silver thighhighs,looking_at_viewer,the girl cross her arms over on her knees,cinematic CG,highly detailed,artstation, concept art, smooth, sharp, focus, illustration,",
海底 兔女郎 透明,"(1girls,rabbit girl),(girls in the new year),(((New year in underwater world))),(masterpiece:1.2), (best quality), (extremely detailed CG wallpaper:1.2), (best shadow), (cinematic lighting:1.2), depth of field, colorful, (sideways,side,from side,focus on nude side-boob,(nude side-boob)),sitting, (amazing),dynamic angle,floating, (happy new year), (underwater|night),rabbit ,snowflake texture silver hair and breasts, long_hair,(snowflake and bubble|firework texture gauze_dress,see- through gauze_dress:1.2),bare_shoulders,bare_breast,blue_eyes, medium_breasts, cleavage,gloves, very_long_hair, sleeveless,looking_at_viewer, sleeveless_dress, bangs, see-through silver_ribbon, necklace, closed_mouth,eyebrows_visible_through_hair,(starry river under the water, star in the underwater,bubble|firework, air_bubble|star_firework),(bubble|firework blooming), fish,,,lantern,winter in the underwater world,",
荷叶 池塘 纱衣 手放在胸口,"(flower and leaf),(1girls:1.3),(hands on the chest:1.1),(extremely detailed CG unity 8k wallpaper), (((masterpiece))), (((best quality))), ((ultra-detailed)), (best illustration), (best shadow), ((an extremely delicate and beautiful)),(fantasy and dreamy),dynamic angle,floating,(focus on the face),girls bathing in the pond,deliace detailed and beautiful face,deliace detailed and beautiful bodys,water texture hair,long_flowing_hair,(lotus_flowers and lotus_leaves texture (gauze_clothes),see-through lotus_flowers and lotus_leaves (gauze_clothes):1.15),decoration,lotus_flowers and lotus_leaves decoration,stars,blue sky, (painting),(sketch),(bloom),(shine)",
星空 偶像 唱歌,"The fairyland of singing,((best quality)),((highly detailed)),((extremely detailed cg unity 8k wallpaper)),((illustration)),impasto,((colorful)),very low lens,from below,outdoor,starry sky background,starry river,star,moon,moon light,meteor,depth of field,sky,glitch,dynamic angle,bottle bottom,tears,broken crystal, ,musical note,(musical note fill the screen),(fill the screen),(musical note bloom),girl in the singing,singing in the fairyland, (1girl,the girl is idol),((singing)),((looking up)),(excited),floating,([silver hair::0.6],[Honey color hair:0.5]:1.15),(gradient hair:1.23), disheveled hair,crystal hair,ornament,crystal hair ornament,(crystal and (see-through) frills (gauze:1.23)|(dress:0.85):1.2),(musical note decorative,musical note decorative magical (gauze:1.23)|(dress:0.85)),big top sleeves,(extremely fantasy and dreamy singing fairyland),white lace stockings,",
星空 樱花 绿毛 漏胸 和服,"(the Girls journey of starry fairyland),(extremely detailed CG unity 8k wallpaper,masterpiece, best quality, ultra-detailed),(best illumination, best shadow, an extremely delicate and beautiful), dynamic angle, floating, fairyland,finely detail, Depth of field (bloom),(shine), (girl in the starry pink fairyland,starry pink fairyland in the starry sky,starry sky in the wonderland), (watercolor medium), (painting),moon, full moon, (1Princess:1.3), solo, (upper body:1.3), night, breasts,((starry sky|sakura) (gauze|kimono), open-chest kimono, cleavage,white and pink gauze|kimono:1.2), sky, bare shoulders, night sky, cherry blossoms, (multicolored aqua hair, aqua hair,aqua eyes:1.15), medium breasts, wide sleeves, star (sky), petals,sakura petals, eyebrows visible through hair, outdoors, bangs,( starry sky, star sky), starry sky, sky, night, night sky, shooting star,) aqua eyes, bare shoulders,sakura petals and flowers, looking at viewer,eyebrows visible through hair, frills, breasts,ornament ,hair ornament,starry|flowers ornamment,(fairy tale and dreamy spring niaght),",
白毛 精灵 连衣裙 花园 萤火虫,"(the wonderland of elf),(extremely detailed CG unity 8k wallpaper),(((masterpiece))), (((best quality))), ((ultra-detailed)), (best illustration), (best shadow), ((an extremely delicate and beautiful)),dynamic angle,floating,focus on the face，[1princess,elf,pointy ears, flower, breasts, elf, long hair, blonde and silver hair, very long flowing hair, solo, detached sleeves, yokozuwari, green eyes, white flower, butterfly hair ornament, bare shoulders, bare breast,medium breasts, looking at viewer,(silver see-through gauze dress:1.2),(gold trim glowing gauze dress), hair ornament, bangs: :0.66], [ dynamic angle,insect,animals,(bug, glowworm,butterfly,animal, , glowing butterfly,glowing fireflies,fireflies encircles the girl,(glowing)) (detailed light),feather, nature, (sunlight), flowers:0.33],girl in the garden,garden in the wonderland,beautiful and delicate wonderland,(painting),(sketch),(bloom),(shine),(All fireflies shine),",
白毛 窗边,"(The Starry Train and the Girls journey of starry train),(extremely detailed CG unity 8k wallpaper,masterpiece, best quality, ultra-detailed), (best illumination, best shadow, an extremely delicate and beautiful), dynamic angle, floating, fairyland,finely detail, Depth of field (bloom), (glass,glass sparkle,shine,overexposure), (girl in the starry train,starry train in the starry sky,starry sky in the wonderland),glinting stars, (watercolor medium), (painting), (sketch),window,moon,detailed moon light,star,starry sky,cirrocumulus,flower, (1girl,cute,flying,bangs,blue eyes,dress,hair between eyes,hair ornament,halo,scarf,sidelocks,star (symbol),star hair ornament,silver hair), (solo),open mouth,! , ribbon, day, eyebrows visible through hair, silver hair, long silver hair, bangs, neck ribbon, very long hair, blush, hair between eyes, red ribbon, window,short sleeves,((the girl Hand and face ||/ the window,||/ the window:1.3) ,(fill the screen),(the girl is wearing silk silver gauze |dress:1.2),(silver silk gauze|dress:1.2),ornament ,hair ornament,starry|flowers ornamment,(fairy tale and dreamy spring niaght),",
透明 彩虹 露背连衣裙 侧身,"((masterpiece)),((best quality)),official art,(extremely detailed CG unity 8k wallpaper), (((an extremely delicate and beautiful))),landscape/scenery,watercolor_(medium),1princess,cat girl,(((upper-body))),(bare shoulder,sideways,from sideways,side-body, (side-boob,bar_side-boob,focus on the bar_side-boob)),very long flowing rainbow hair,rainbow hair,hair between wet breasts,silver lace hollowing (white_chocolate|liquid:0.4) open-clothes, ((delicate and detailed snowflake texture lace hollowing (white_chocolate|liquid:0.4) open-clothes)), (wet see-through lace hollowing (white_chocolate|liquid:0.4) open-clothes),very long ribbons,covered by rose petals,hands behind the back,smile,star,starry river,starry night,rainbow ,colorful rose petals floating in the air,sky,colorful butterflies flying down from sky,detailed and beautiful color butterflies,(((the detailed and delicate rainbow texture rose and butterflies fill the screen))), ((Fill the screen)),((neck)),(((back))),(looking back), blush,dhalter dress, sliver hair,backless dress(illustrator:1.35), (sketch:1.1),",
和服 蕾丝 湿身 胸视角,"((masterpiece)), ((an extremely detailed and delicate)), (8k cg wallpaper), (stunning art), (ink splashing), (amazing), (self-portrait:1.5), (loli:1.3), (medium breasts), (wet see-through lace idol clothes:1.5), (wet:1.05), (1girl), silver long hair, silver hair, idol, (ultimate cute & girly:1.5), (bare:1.3), (((The chest is pressed against the screen))), (solo), hair ornament, japanese clothes, solo, kimono, (colorful hololive texture kimono:1.2), red eyes, flower, red nails, looking at viewer, blush, hair flower, striped, eyebrows visible through hair, colorful flowers background, holding, bangs, (((bare shoulder))), (((bare breast))),",
花园 紫藤 少女 脸视角,"((Gril In The Wisteria Tunnel)),(((masterpiece))),(incredibly_absurdres),(best quality),(highres),((ultra-detailed)),(girl in the garden),(garden in the dream), (extremely fantasy dream),(an extremely delicate and beautiful girl),delicate face,beautiful detailed eyes,(blue_eyes), (silver_hair),(medium_breast),disheveled hair,(wind,flowing hair),(crown of laurels),(delicate_Organza_lace_gown),elegant,arms behind back, (upper_body),focus on face,close up,(spring flowers),((beautiful_detailed_garden)),((Surrounded by Purple vine)),(delicate beautiful ice),(ice reflection light),(frost),(detailed_beautiful_blue_sky),cirrocumulus,butterflies,fireflies,firefly glowing,(detailed background),(depth of field),backlight,(cinematic light),(lens_flare),(best shadow),(extremely delicate and colorful Wisteria Tunnel), (fairy tale and dreamy),",
白毛 毛衣 侧乳,"(eromange), (masterpiece:1.2), (extremely detailed CG wallpaper:1.2), (best shadow), colorful, (sideways, side, focus on bare side-breast, (bare side-breast)), 1girl, (loli), (medium breasts), (wet see-through silver|sliver sweater|bar apron, snowflake texture sweater|bar apron), (wet), smile, bare shoulders, bare navel, beautiful and detailed blue eyes, long silver hair, precise hair, snowflake texture silver hair, :d, open mouth, blush, small breasts, on back, looking at viewer, sitting, breasts covered by petals, detailed and beautiful colorful bow, cute body, petals covered navel, snowflake striped, very long flowing hair, (cinematic lighting:1.2), depth of field, from side, (best quality)",
竹林 汉服 露胸,"((masterpiece)), ((an extremely detailed and delicate)), (8k cg wallpaper), (stunning art), ((illustration )), (ink splashing), (amazing),1girl,(fairy), (medium breasts),(wet see-through bamboo texture open hanfu:1.15),(wet:1.05),1girl, long black hair, solo, hair ornament, flower,flower decoration, bangs, upper body, very long hair, blush, looking at viewer, closed mouth, hair flower,bamboo texture open hanfu, detailed and delicate colorful open hanfu, wide sleeves, blunt bangs, floating hair, outdoors,collarbone,ink|bamboo,ink|bamboo forest backgroud,light,sunlight filtered through the bamboo,river,sitting in the river,",
黑白婚纱 百合花,"masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper,incredibly_absurdres,beautiful detailed eyes,an extremely delicate and beautiful,dynamic angle,floating, (beautiful detailed eyes), (detailed light) ,(1girl), medium_breasts,cleavage,bare shoulder,floating_hair, wet see-through lace wedding dress,((white and black lace wedding dress)),(black ink landscape painting background), ((long hair)), (floating hair), (pick and dye white hair), ((flowing transparent lily blossom)), (((ink))), (white and black hair), (flowing hair), (the picture fills the canvas), (bright pupils), white long lace ribbons sleeve,full body,(detailed and delicate flowers),(long white hair),(beautiful detailed eyes),(((best quality))),((solo)),brown eyes,detailed face,(cute),lily garden,Lily flowers petals texture sky ,detailed sky,smile,the girl is covered by lily flower petals,wind,Amazing,light shafts,pigeons,close to the viewer,holds on the back,",
花园 座椅 白毛 白丝 湿身,"((eromange))), ((masterpiece)), ((an extremely detailed and delicate)), (8k cg wallpaper), (stunning art), ((illustration )), (ink splashing), color splashing, (amazing), 1girl, Kawaii girl, bare shoulder, (Kawaii to the extreme:1.5), wet see-thrrough lace Lolita, (blue and white white rose texture Lolita:1.3), white rose background, delicate and detailed face and eyes, very flowing long white hair, white rose texture hair, (white rose hair accessories:1.2), ( dresses decorated with white rose:1.2), (Kawaii white lace stockings:1.3), precise background, blue mist, garden, stream, (in the stream of the garden), Sit in a chair, (((rose blooming fill the screen))), (((fill the screen))), ((wet, rain)),",
白毛 猫娘 萝莉 露背 洛丽塔,"((masterpiece)), ((an extremely detailed and delicate)), (8k cg wallpaper), (stunning art), ((illustration )), (ink splashing), (amazing),(1cat girl,loli:1.5),medium breasts,detailed beautiful face,delicate beautiful eyes,sliver long flowing hair and red eyes,white headdress rose flower,(white|purple noble gothic lolita:1.3),gothic lolita,(detailed and beautiful starry|white_rose texture gothic lolita:1.3),has silver patterns and lace, nature,rose flowers meadows, sunlight,star earrings,(delicate and detailed colorful rainbow starry sky background),(((delicate and detailed white rose fill the screen))),(((fill the screen))),bare shoulder,bareback,backless dress,",
旗袍 兔耳,"masterpiece,best quality,((cheongsam)),(Oriental classical city),lantern,There are many fireworks in the sky,((China)),On the street,Rabbit tail,Rabbit ears,Hands behind one's back,(White silk stockings),white_hair,Huge ahoge,Long hair,blue eyes,glowing eyes,night,in winter,very wide shot,style of azur lane,Volumetric Lighting,(((1girl))),((loli))",
猫娘 萝莉 粘液,"(((1girls))),(cat girl,one is white hair and the another is black hair),(((eromange))), ((masterpiece)), ((an extremely detailed and delicate)), (8k cg wallpaper), (stunning art), ((illustration )), (ink splashing), (colorful:1.5),color splashing, (amazing),(loli:1.3), (medium breasts),(wet see-through gradient clothing:1.15),(slime clothes), (wet:1.05),smile,wet see- through gradient clothes, bare_shoulders, bare_navel,brown_eyes, (snowflake texture white hair),long_gradient_hair, precise gradient hair, :d, open_mouth, blush, small_breasts, on_back, looking_at_viewer, lying,breasts covered by slime,collarbone, detailed and beautiful gradient bow,cute slime, slime covered_navel, slime striped, very_long_flowing_gradient_hair,",
雪花 雪女 礼服,"wet see-through sexy clothes, ((((white and blue lace Magic Girl Costume clothes)))), (((Snowflake texture Hair))), detailed and texture, Snowflake texture blossoms, (((((extremely detailed CG))))),((8k_wallpaper)), ((((snow-white texture gloves)))), ((beautiful detailed snow- white hair)), (((best quality))), ((ultra-detailed)), ((illustration)), ((frills)), (solo), (((masterpiece))), (((best quality))), ((ultra-detailed)), (illustration), ((an extremely delicate and beautiful)), dynamic angle, (beautiful detailed eyes), (detailed light), white hair, blue eyes, Snowflake, nature, (forest), (painting), 1girl, solo, finely detail, (beautiful detailed eyes), long hair, large breasts, white thighhighs,",
冰晶翅膀 短裙 露肚脐上衣,"ice crystal, winter, fairy, (medium breasts), ((ice crystal wings)), blue long hair with long locks, snowflake hair ornament, see-through wet blue miniskirt, barefoot, bare shoulders, see-through wet crop top, flying ice crystal, wind, (((((extremely detailed CG))))), ((8k_wallpaper)), (((best quality))), ((ultra-detailed)), ((illustration)), (((masterpiece))), ((an extremely delicate and beautiful)), (beautiful detailed eyes), (detailed light),",
黄毛 婚纱,"1girl,green eyes, blonde hair, solo, wedding dress, veil, holding bouquet, outdoors, scenery, cowboy shot, bridal gauntlets, bare shoulders, white legwear, Scenes with extreme detail ((extremely detailed CG)),(8k_wallpaper), illustration, overexposure, dynamic angle, focus,((extremely delicate and beautiful fabric)) ((beautiful detailed background)), beautiful details in the wind, ((extremely delicate and beautiful fabric)),((beautiful detailed surround)), beautiful details in the wind,wide vision ,wide-angle, ((masterpiece)), (best quality), (highres), (good anatomy), (hyper detailed), extremely delicate and beautiful, ultra-detailed,beautiful, (beauty),original, extremely detailed,best quality, loating,beautiful, (beauty),",
猫娘 粉毛 文胸,"(masterpiece:1.2), best quality,a girl, pink nightgown, pink cat ear hood, (white long hair:1.3), (pink eyes), duck sitting, ((hiding hands)),clothes open, pink bra, tsundere, obsessive expression,  blush, medium breast, cross white headdress, holding a bear doll, sitting on the bed, pink bed, bedroom,full body,looking at viewer, beautiful eyes, detailed eyes,",
女皇 礼服,"(best quality, masterpiece:1.2), photorealistic, ultra high res, front lighting, intricate detail, Exquisite details and textures, Knee Shot(KS),ultra realistic 8k cg,  flawless, clean, masterpiece, professional artwork, famous artwork, cinematic lighting, cinematic bloom, fantasy art, incredibly_absurdres, conformity to dynamics, aerodynamic compliance,1gril, solo,(young), perfect face, beautiful face, face highlight, detailed face, silver hair, absurdly long hair, very long hair, short bangs, looking at viewer, closed mouth, beautiful eyes , correct perspective, medium breasts, breasts out, narrow waist, standing demurely on top of the castle roof, white,clothes, thin gown, goddess crown, gorgeous queen, royal, divine, goddess, godlike, fantasy, dreamlike, unreal, beautiful clothes, lace, Lace panties, miniskirt, lace trim, lace-trimmed ,ribbon, legwear, (rich:0.6), prestige, luxury, jewelry, diamond, gold, pearl, gem, sapphire, ruby, emerald, intricate detail, delicate pattern, charming, enchanting, hair ornament, necklace, earrings, bracelet, armlet, goddess dress, exaggerated length silk scarf, (wind blowing clothes:0.3),huge castle, snowy scenery, clearly visible snowflakes, royal palace, castle rooftop, mountain, trees, grass, snowing, the snow is dancing,",
萝莉 汉服 樱花,"shiina mahiru, yellow eyes, eromanga, (loli), (extremely detailed CG unity 8k wallpaper, masterpiece, ultra-detailed), (best illumination, bestshadow, an extremely delicate and beautiful), dynamic angle, floating, finely detail, Depth of field (bloom), (shine), glinting stars, (watercolor medium), (painting), (sketch), white and pink wet hanfu| pajamas, pink thighhighs, keep hands on the back, smile, look at viewer, sakura and Jasmine background, long flowing hair, Jasmine Petals (blonde:1.24) hair, hair between wet breasts, sakura hair bow, highly detailed, high resolution, highly detailed yellow eyes, (solo), game cg, 1girl, Princess, bangs, blue sakura, detailed foreground, blush, medium breasts, cherry blossoms, eyebrows visible through hair, falling petals, floating hair, sakura, hair flower, hair ornament, leaves in wind, long hair, long sleeves, looking at viewer, sakura petals, sakura petals on liquid, pink sakura flower, pink hair, rose petals, see-through, solo, spring (season), upper body, very long hair, wind, hair flowing in the wind, yellow eyes, torino, cinematic lighting, best quality",
湿身 贴贴,"nsfw,(collarbone:1.331), (camisole:1.21),(2 girls:1.4),daytime,yuri,lesbian,kiss,lesbian,a green eyes blonde girl  and a black hair girl,straw hat, sex,a woman in a floral dress,tree brancha ,wet see-through dress,woman in a gray dress, a stock photo by Oleg Oprisco, pinterest, art photography,the dress with sequin like of the stars twinkling in the starry sky, wearing a necklace made of sapphire and gold, made of flowers, soft light, enchanting, cuffs decorated with light gold lines, a necklace made of sapphire and gold,",
温泉 浴衣,"(original) , (very detailed wallpaper) , (best quality) , (masterpiece) , very detailed illustrations, (1 girl) , beautiful eyes, (delicate face) , perfect detail, (best lighting) , (super complex details) , onsen, bath yuka, blush, wet clothes, queen, yukata, Perfect Face, long eyelashes, beautiful eyes, long dark hair, hair,4K unified, (super detailed CG: 1.2) , (8K: 1.2) ,",
